SRS ID,Reads File,Reads File Size,Reads File MD5
SRS018569,/HHS/Illumina/buccal_mucosa/SRS018569.tar.bz2,146777758,37de4216b2df4098f2b6c819ea2e7c1c
SRS020336,/HHS/Illumina/buccal_mucosa/SRS020336.tar.bz2,163988459,23753ef8187bca3681ec961d5b50c0aa
SRS051116,/HHS/Illumina/buccal_mucosa/SRS051116.tar.bz2,349640001,daa356067ddd5d49153dafdca3c7351a
SRS075086,/HHS/Illumina/PHASEII/buccal_mucosa/SRS075086.tar.bz2,8772338400,63ad911f6122e07df18b1a0d011e3396
SRS015985,/HHS/Illumina/buccal_mucosa/SRS015985.tar.bz2,2579033527,b07b7e0298e659612827285df1b16dba
SRS018774,/HHS/Illumina/buccal_mucosa/SRS018774.tar.bz2,641949056,6abffd5d2ad39ffefe954d80120886e2
SRS045978,/HHS/Illumina/buccal_mucosa/SRS045978.tar.bz2,616878910,edb10556664f1457157d80ab85bbe4fa
SRS015274,/HHS/Illumina/buccal_mucosa/SRS015274.tar.bz2,211648279,7c768f2a2d5e12050599904301fa4acd
SRS015745,/HHS/Illumina/buccal_mucosa/SRS015745.tar.bz2,720502100,e96b33f32ba734e0d87f54e45cc3ccd6
SRS019329,/HHS/Illumina/buccal_mucosa/SRS019329.tar.bz2,566633476,ab9ba71cd9f0564f2044a83e946f2f44
SRS021986,/HHS/Illumina/buccal_mucosa/SRS021986.tar.bz2,896937100,8e051c36b27cec20ee10da5d7b8a07ae
SRS023354,/HHS/Illumina/buccal_mucosa/SRS023354.tar.bz2,260051081,2dcaef6fec0e0c04941ffdd44828b969
SRS016349,/HHS/Illumina/buccal_mucosa/SRS016349.tar.bz2,360385642,4ebfbed79a264eca6dc01d87e4108002
SRS043422,/HHS/Illumina/buccal_mucosa/SRS043422.tar.bz2,6435497287,565e3f35a3ea7336d42c692dbf626e03
SRS022721,/HHS/Illumina/buccal_mucosa/SRS022721.tar.bz2,276573920,33ce775c1579a4b59aaadc1775e90444
SRS052874,/HHS/Illumina/buccal_mucosa/SRS052874.tar.bz2,1150556735,cff3e743a15ff0aa880a1345fb57adae
